Id                         FullName
darwin10Guest              Apple Mac OS X 10.6 (32-bit)
darwin64Guest              Apple Mac OS X 10.5 (64-bit)
darwinGuest                Apple Mac OS X 10.5 (32-bit)
freebsd14_64Guest          FreeBSD 14 or later versions (64-bit)
freebsd14Guest             FreeBSD 14 or later versions (32-bit)
freebsd13_64Guest          FreeBSD 13 (64-bit)
freebsd13Guest             FreeBSD 13 (32-bit)
freebsd12_64Guest          FreeBSD 12 (64-bit)
freebsd12Guest             FreeBSD 12 (32-bit)
freebsd11_64Guest          FreeBSD 11 (64-bit)
freebsd11Guest             FreeBSD 11 (32-bit)
freebsd64Guest             FreeBSD Pre-11 versions (64-bit)
freebsdGuest               FreeBSD Pre-11 versions (32-bit)
os2Guest                   IBM OS/2
netware6Guest              Novell NetWare 6.x
netware5Guest              Novell NetWare 5.1
solaris11_64Guest          Oracle Solaris 11 (64-bit)
solaris10_64Guest          Oracle Solaris 10 (64-bit)
solaris10Guest             Oracle Solaris 10 (32-bit)
solaris9Guest              Sun Microsystems Solaris 9
solaris8Guest              Sun Microsystems Solaris 8
openServer6Guest           SCO OpenServer 6
openServer5Guest           SCO OpenServer 5
unixWare7Guest             SCO UnixWare 7
eComStation2Guest          Serenity Systems eComStation 2
eComStationGuest           Serenity Systems eComStation 1
otherGuest64               Other (64-bit)
otherGuest                 Other (32-bit)
vmkernel8Guest             VMware ESXi 8.0 or later
vmkernel7Guest             VMware ESXi 7.x
vmkernel65Guest            VMware ESXi 6.x
vmkernel6Guest             VMware ESXi 6.0
vmkernel5Guest             VMware ESXi 5.x
vmkernelGuest              VMware ESX 4.x

